title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Bilingual Text-to-Motion Generation: A New Benchmark and Baselines,"Wanjiang Weng, Xiaofeng Tan, Xiangbo Shu, Guo-Sen Xie, Pan Zhou, Hongsong Wang","W Weng, X Tan, X Shu, GS Xie, P Zhou…",openalex,Bilingual Text-to-Motion Generation: A New Benchmark and Baselines,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2603.25178,"Text-to-motion generation holds significant potential for cross-linguistic applications, yet it is hindered by the lack of bilingual datasets and the poor cross-lingual semantic …",,
TriC-Motion: Tri-Domain Causal Modeling Grounded Text-to-Motion Generation,"Yiyang Cao, Yunze Deng, Ziyu Lin, Bin Feng, Xinggang Wang, Wenyu Liu, Dandan Zheng, Jingdong Chen","Y Cao, Y Deng, Z Lin, B Feng, X Wang, W Liu…",openalex,TriC-Motion: Tri-Domain Causal Modeling Grounded Text-to-Motion Generation,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2602.08462,"Text-to-motion generation, a rapidly evolving field in computer vision, aims to produce realistic and text-aligned motion sequences. Current methods primarily focus on spatial …",,
Multi-scale Coarse-to-fine Modeling for Test-time Human Motion Control,"Le, Nhat, Liu, Daochang, Nguyen, Anh, Mian, Ajmal","N Le, D Liu, A Nguyen, A Mian",page-meta,Multi-scale Coarse-to-fine Modeling for Test-time Human Motion Control,1.000,2026,"arXiv preprint arXiv:2605.14935, 2026",https://arxiv.org/abs/2605.14935,"We present MSCoT, a multi-scale, coarse-to-fine model for test-time human motion synthesis and control. Unlike recent approaches that rely on multiple iterative denoising/token …",,
Marrying Text-to-Motion Generation with Skeleton-Based Action Recognition,"Jidong Kuang, Hongsong Wang, Jie Gui","J Kuang, H Wang, J Gui",openalex,Marrying Text-to-Motion Generation with Skeleton-Based Action Recognition,1.000,2026,"arXiv preprint arXiv:2604.17090, 2026",https://arxiv.org/abs/2604.17090,"Human action recognition and motion generation are two active research problems in human-centric computer vision, both aiming to align motion with textual semantics. However …",,
Learning golf swing signatures from a single wrist-worn inertial sensor,"Lauer, Jessy",J Lauer,page-meta,Learning golf swing signatures from a single wrist-worn inertial sensor,1.000,2025,"arXiv preprint arXiv:2506.17505, 2025",https://arxiv.org/abs/2506.17505,"Despite its importance for performance and injury prevention, golf swing analysis is limited by isolated metrics, underrepresentation of professional athletes, and a lack of rich …",,
"IRG-MotionLLM: Interleaving Motion Generation, Assessment and Refinement for Text-to-Motion Generation","Yuan-Ming Li, Qize Yang, Lei, Nan, Shenghao Fu, Ling-An Zeng, Jian–Fang Hu, Xihan Wei, Wei‐Shi Zheng","YM Li, Q Yang, N Lei, S Fu, LA Zeng, JF Hu…",openalex,"IRG-MotionLLM: Interleaving Motion Generation, Assessment and Refinement for Text-to-Motion Generation",1.000,2025,"arXiv preprint arXiv …, 2025",https://arxiv.org/abs/2512.10730,"Recent advances in motion-aware large language models have shown remarkable promise for unifying motion understanding and generation tasks. However, these models typically …",Cited by 3,"https://www.gupiaoq.com/scholar?cites=11812530269238596447&as_sdt=2005&sciodt=0,5&hl=en"
ScaleMoGen: Autoregressive Next-Scale Prediction for Human Motion Generation,"Inwoo Hwang, Hojun Jang, Bing Zhou, Jian Wang, Young Min Kim, Chuan Guo","I Hwang, H Jang, B Zhou, J Wang, YM Kim…",openalex,ScaleMoGen: Autoregressive Next-Scale Prediction for Human Motion Generation,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2605.11704,"We present ScaleMoGen, a scale-wise autoregressive framework for text-driven human motion generation. Unlike conventional autoregressive approaches that rely on standard …",,
ReAlign: Bilingual Text-to-Motion Generation via Step-Aware Reward-Guided Alignment,"Weng, Wanjiang, Xiaofeng Tan, Hongsong Wang, Pan Zhou","W Weng, X Tan, H Wang, P Zhou",openalex,ReAlign: Bilingual Text-to-Motion Generation via Step-Aware Reward-Guided Alignment,1.000,2025,"arXiv preprint arXiv:2505.04974, 2025",https://arxiv.org/abs/2505.04974,"Bilingual text-to-motion generation, which synthesizes 3D human motions from bilingual text inputs, holds immense potential for cross-linguistic applications in gaming, film, and robotics …",,
PRISM: Streaming Human Motion Generation with Per-Joint Latent Decomposition,"Zeyu Ling, Qing Shuai, Teng Zhang, Shiyang Li, Bo Han, Changqing Zou","Z Ling, Q Shuai, T Zhang, S Li, B Han, C Zou",openalex,PRISM: Streaming Human Motion Generation with Per-Joint Latent Decomposition,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2603.08590,"Text-to-motion generation has advanced rapidly, yet two challenges persist. First, existing motion autoencoders compress each frame into a single monolithic latent vector, entangling …",,
T2MBench: A Benchmark for Out-of-Distribution Text-to-Motion Generation,"Bin Yang, Rong Ou, Weisheng Xu, Jiaqi Xiong, Xintao Li, Taowen Wang, Luyu Zhu, Xu Jiang, Jing Tan, Renjing Xu","B Yang, R Ou, W Xu, J Xiong, X Li, T Wang…",openalex,T2MBench: A Benchmark for Out-of-Distribution Text-to-Motion Generation,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2602.13751,"Most existing evaluations of text-to-motion generation focus on in-distribution textual inputs and a limited set of evaluation criteria, which restricts their ability to systematically assess …",,
