title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Tree search-based task and motion planning with prehensile and non-prehensile manipulation for obstacle rearrangement in clutter,"Jinhwi Lee, Changjoo Nam, Jong-Hyeon Park, Chang-Hwan Kim","J Lee, C Nam, J Park, C Kim",openalex,Tree Search-based Task and Motion Planning with Prehensile and Non-prehensile Manipulation for Obstacle Rearrangement in Clutter,1.000,2021,"2021 IEEE International …, 2021",https://ieeexplore.ieee.org/abstract/document/9561895/,We propose a tree search-based planning algorithm for a robot manipulator to rearrange objects and grasp a target in a dense space. We consider environments where tasks cannot …,Cited by 32,"https://www.gupiaoq.com/scholar?cites=13699206277403759570&as_sdt=2005&sciodt=0,5&hl=en"
Pushing everything everywhere all at once: Probabilistic prehensile pushing,"Patrizio Perugini, Jens Lundell, Katharina Friedl, Danica Kragić","P Perugini, J Lundell, K Friedl…",openalex,Pushing Everything Everywhere All at Once: Probabilistic Prehensile Pushing,1.000,2025,"IEEE Robotics and …, 2025",https://ieeexplore.ieee.org/abstract/document/10930575/,"We address prehensile pushing, the problem of manipulating a grasped object by pushing against the environment. Our solution is an efficient nonlinear trajectory optimization …",Cited by 3,"https://www.gupiaoq.com/scholar?cites=3748631237585442459&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] Pick and place objects in a cluttered scene using deep reinforcement learning,"MQ Mohammed, KL Chung…",,,,,2020,"Int. J. Mech. Mechatron …, 2020",https://www.researchgate.net/profile/Marwan-Mohammed-6/publication/344280786_Pick_and_Place_Objects_in_a_Cluttered_Scene_Using_Deep_Reinforcement_Learning/links/5f6308954585154dbbd74d8d/Pick-and-Place-Objects-in-a-Cluttered-Scene-Using-Deep-Reinforcement-Learning.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,This paper presents a robotic grasp-to-place system that has the capability of grasping objects in sparse and cluttered environments. The key feature of the system is that it handles …,Cited by 33,"https://www.gupiaoq.com/scholar?cites=4543609076412100908&as_sdt=2005&sciodt=0,5&hl=en"
Sampling-based planning for retrieving near-cylindrical objects in cluttered scenes using hierarchical graphs,"Hao Tian, Chaoyang Song, Changbo Wang, Xinyu Zhang, Jia Pan","H Tian, C Song, C Wang, X Zhang…",openalex,Sampling-Based Planning for Retrieving Near-Cylindrical Objects in Cluttered Scenes Using Hierarchical Graphs,1.000,2022,"IEEE Transactions on …, 2022",https://ieeexplore.ieee.org/abstract/document/9863895/,"We present an incremental sampling-based task and motion planner for retrieving near-cylindrical objects, like bottle, in cluttered scenes, which computes a plan for removing …",Cited by 17,"https://www.gupiaoq.com/scholar?cites=10726444143741051474&as_sdt=2005&sciodt=0,5&hl=en"
Semantics-aware hierarchical decision framework for embodied visual room rearrangement,"Xinzhu Liu, Di Guo, Huaping Liu","X Liu, D Guo, H Liu",openalex,Semantics-Aware Hierarchical Decision Framework for Embodied Visual Room Rearrangement,1.000,2025,"IEEE Transactions on Neural Networks …, 2025",https://ieeexplore.ieee.org/abstract/document/10915698/,"In embodied visual room rearrangement, the agent needs to recover the scene state to the goal state through interacting with the environment based on the egocentric visual …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=2155888339572413850&as_sdt=2005&sciodt=0,5&hl=en"
Reinforcement learning in topology-based representation for human body movement with whole arm manipulation,"Weihao Yuan, Kaiyu Hang, Haoran Song, Danica Kragić, Michael Y. Wang, Johannes A. Stork","W Yuan, K Hang, H Song, D Kragic…",openalex,Reinforcement Learning in Topology-based Representation for Human Body Movement with Whole Arm Manipulation,1.000,2019,"… on robotics and …, 2019",https://ieeexplore.ieee.org/abstract/document/8794160/,Moving a human body or a large and bulky object may require the strength of whole arm manipulation (WAM). This type of manipulation places the load on the robot's arms and …,Cited by 39,"https://www.gupiaoq.com/scholar?cites=4010383941721445483&as_sdt=2005&sciodt=0,5&hl=en"
Push-mog: Efficient pushing to consolidate polygonal objects for multi-object grasping,"Shrey Aeron, Edith Llontop, Aviv Adler, Wisdom C. Agboh, Mehmet R. Doğar, Ken Goldberg","S Aeron, E LLontop, A Adler, WC Agboh…",openalex,Push-MOG: Efficient Pushing to Consolidate Polygonal Objects for Multi-Object Grasping,1.000,2023,"2023 IEEE 19th …, 2023",https://ieeexplore.ieee.org/abstract/document/10260295/,"Recently, robots have seen rapidly increasing use in homes and warehouses to declutter by collecting objects from a planar surface and placing them into a container. While current …",Cited by 12,"https://www.gupiaoq.com/scholar?cites=4605826863631899656&as_sdt=2005&sciodt=0,5&hl=en"
Learning preconditions of hybrid force-velocity controllers for contact-rich manipulation,"Jacky Liang, Xianyi Cheng, Oliver Kroemer","J Liang, X Cheng, O Kroemer",openalex,Learning Preconditions of Hybrid Force-Velocity Controllers for Contact-Rich Manipulation,1.000,2022,"arXiv preprint arXiv:2206.12728, 2022",https://arxiv.org/abs/2206.12728,Robots need to manipulate objects in constrained environments like shelves and cabinets when assisting humans in everyday settings like homes and offices. These constraints make …,Cited by 17,"https://www.gupiaoq.com/scholar?cites=17389873270955226535&as_sdt=2005&sciodt=0,5&hl=en"
Hierarchical and Modular Network on Non-prehensile Manipulation in General Environments,"Yoonyoung Cho, Junhyek Han, Jisu Han, Beomjoon Kim","Y Cho, J Han, J Han, B Kim",openalex,Hierarchical and Modular Network on Non-prehensile Manipulation in General Environments,1.000,2025,"arXiv preprint arXiv:2502.20843, 2025",https://arxiv.org/abs/2502.20843,"For robots to operate in general environments like households, they must be able to perform non-prehensile manipulation actions such as toppling and rolling to manipulate …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=14518678080382961701&as_sdt=2005&sciodt=0,5&hl=en"
"Towards Living Machines: current and future trends of tactile sensing, grasping, and social robotics","Vasiliki Vouloutsi, Lorenzo Cominelli, Mehmet R. Doğar, Nathan F. Lepora, Claudio Zito, Uriel Martínez-Hernández","V Vouloutsi, L Cominelli, M Dogar…",openalex,"Towards Living Machines: current and future trends of tactile sensing, grasping, and social robotics",1.000,2023,"Bioinspiration & …, 2023",https://iopscience.iop.org/article/10.1088/1748-3190/acb7b9/meta,The development of future technologies can be highly influenced by our deeper understanding of the principles that underlie living organisms. The Living Machines …,Cited by 12,"https://www.gupiaoq.com/scholar?cites=13740122197193503888&as_sdt=2005&sciodt=0,5&hl=en"
