title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
FieryGS: In-the-Wild Fire Synthesis with Physics-Integrated Gaussian Splatting,"Qianfan Shen, N. Tao, Qiyu Dai, Tianle Chen, Minghan Qin, Yongjie Zhang, Mengyu Chu, Wenzheng Chen, Baoquan Chen","Q Shen, N Tao, Q Dai, T Chen, M Qin, Y Zhang…",openalex,FieryGS: In-the-Wild Fire Synthesis with Physics-Integrated Gaussian Splatting,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2605.00177,"We consider the problem of synthesizing photorealistic, physically plausible combustion effects in in-the-wild 3D scenes. Traditional CFD and graphics pipelines can produce …",,
"Harnessing AI for Inverse Partial Differential Equation Problems: Past, Present, and Prospects","Zhentao Tan, Yuze Hao, Boyi Zou, Mingsheng Long, Yi Yang, Gang Bao","Z Tan, Y Hao, B Zou, M Long, Y Yang, G Bao",openalex,"Harnessing AI for Inverse Partial Differential Equation Problems: Past, Present, and Prospects",1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2605.16966,Solving inverse partial differential equation (PDE) problems is a fundamental topic in scientific research due to its broad significance across a wide range of real-world …,,
DIGS: Dynamic CBCT Reconstruction Using Deformation-Informed 4D Gaussian Splatting and a Low-Rank Free-Form Deformation Model,"Yuliang Huang, Imraj Singh, T. A. Joyce, Kris Thielemans, Jamie R. McClelland","Y Huang, I Singh, T Joyce, K Thielemans…",openalex,DIGS: Dynamic CBCT Reconstruction using Deformation-Informed 4D Gaussian Splatting and a Low-Rank Free-Form Deformation Model,1.000,2025,"… Conference on Medical …, 2025",https://link.springer.com/chapter/10.1007/978-3-032-04965-0_13,Abstract 3D Cone-Beam CT (CBCT) is widely used in radiotherapy but suffers from motion artifacts due to breathing. A common clinical approach mitigates this by sorting projections …,Cited by 2,"https://www.gupiaoq.com/scholar?cites=13662449041074343232&as_sdt=2005&sciodt=0,5&hl=en"
MoSA: Motion-constrained Stress Adaptation for Mitigating Real-to-Sim Gap in Continuum Dynamics via Learning Residual Anisotropy,"Jiaxu Wang, Junhao He, Jingkai Sun, Yi Gu, Yunyang Mo, Jiahang Cao, Qiang Zhang, Renjing Xu","J Wang, J He, J Sun, Y Gu, Y Mo, J Cao…",openalex,MoSA: Motion-constrained Stress Adaptation for Mitigating Real-to-Sim Gap in Continuum Dynamics via Learning Residual Anisotropy,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2605.22597,"Learning real-world dynamics from visual observations is crucial for various domains. A common strategy is to calibrate simulators by estimating physical parameters, yet accuracy …",,
3DPhysVideo: Consistency-Guided Flow SDE for Video Generation via 3D Scene Reconstruction and Physical Simulation,"Hwidong Kim, Yunho Kim, Tae-Kyun Kim","H Kim, Y Kim, TK Kim",openalex,3DPhysVideo: Consistency-Guided Flow SDE for Video Generation via 3D Scene Reconstruction and Physical Simulation,1.000,2026,"arXiv preprint arXiv:2605.16795, 2026",https://arxiv.org/abs/2605.16795,"Video generative models have made remarkable progress, yet they often yield visual artifacts that violate grounding in physical dynamics. Recent works such as PhysGen3D …",,
CausalGS: Learning Physical Causality of 3D Dynamic Scenes with Gaussian Representations,"Nengbo Lu, Minghua Pan","N Lu, M Pan",openalex,CausalGS: Learning Physical Causality of 3D Dynamic Scenes with Gaussian Representations,1.000,2026,"arXiv preprint arXiv:2605.10586, 2026",https://arxiv.org/abs/2605.10586,Learning a physical model from video data that can comprehend physical laws and predict the future trajectories of objects is a formidable challenge in artificial intelligence. Prior …,,
Resonance4D: Frequency-Domain Motion Supervision for Preset-Free Physical Parameter Learning in 4D Dynamic Physical Scene Simulation,"Changshe Zhang, Jie Feng, Siyu Chen, Guanbin Li, Ronghua Shang, Junpeng Zhang","C Zhang, J Feng, S Chen, G Li, R Shang…",openalex,Resonance4D: Frequency-Domain Motion Supervision for Preset-Free Physical Parameter Learning in 4D Dynamic Physical Scene Simulation,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2604.01994,Physics-driven 4D dynamic simulation from static 3D scenes remains constrained by an overlooked contradiction: reliable motion supervision often relies on online video diffusion or …,,
"MonoPhysics: Estimating Geometry, Appearance, and Physical Parameters from Monocular Videos","Daniel Rho, Jun Myeong Choi, Matthew Thornton, Biswadip Dey, Roni Sengupta","D Rho, JM Choi, M Thornton, B Dey…",openalex,"MonoPhysics: Estimating Geometry, Appearance, and Physical Parameters from Monocular Videos",1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2605.30320,"Existing inverse physics methods recover physical parameters from multi-view videos, where geometric constraints across views resolve scale and 3D structure. In monocular …",,
EndoGSim: Physics-Aware 4D Dynamic Endoscopic Scene Simulations via MLLM-Guided Gaussian Splatting,"Changjing Liu, Yiming Huang, Long Bai, Beilei Cui, Hongliang Ren","C Liu, Y Huang, L Bai, B Cui, H Ren",openalex,EndoGSim: Physics-Aware 4D Dynamic Endoscopic Scene Simulations via MLLM-Guided Gaussian Splatting,1.000,2026,"arXiv preprint arXiv:2605.16022, 2026",https://arxiv.org/abs/2605.16022,"In robot-assisted minimally invasive surgery, high-fidelity dynamic endoscopic scene reconstruction and simulation are crucial to enhancing downstream tasks and advancing …",,
DeformMaster: An Interactive Physics-Neural World Model for Deformable Objects from Videos,"Can Li, Zhoujian Li, Ren Li, Jie Gu, Lei Lei, Jingmin Chen, Lei Sun","C Li, Z Li, R Li, J Gu, L Lei, J Chen, L Sun",openalex,DeformMaster: An Interactive Physics-Neural World Model for Deformable Objects from Videos,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2605.09586,"World models for deformable objects should recover not only geometry and appearance, but also underlying physical dynamics, interaction grounding, and material behavior. Learning …",,
Multi-Object System Identification from Videos,"Chunjiang Liu, Xiaoyuan Wang, Qingran Lin, Albert Xiao, Haoyu Chen, Shizheng Wen, Hao Zhang, Lu Qi, Ming-Hsuan Yang, Laszlo A. Jeni, Min Xu, Yizhou Zhao","C Liu, X Wang, Q Lin, A Xiao, H Chen, S Wen…",page-meta,Multi-Object System Identification from Videos,1.000,,… Conference on Learning …,https://openreview.net/forum?id=0ylAe3Orfy,"We introduce the challenging problem of multi-object system identification from videos, for which prior methods are ill-suited due to their focus on single-object scenes or discrete …",,
Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,"Xiaogang Wang, Hongyu Wu, Wenfeng Song, Kai Xu","X Wang, H Wu, W Song, K Xu",page-meta,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,1.000,,The Fourteenth International Conference …,https://openreview.net/forum?id=zcAwK50ft0,This paper presents a unified framework for simulating and visualizing dynamic fracture phenomena in extreme mechanical collisions using multi-view image inputs. While existing …,,
Defining and Validating Convergence Criteria for the Determination of Representative Elementary Volume in Porous Media,"Fan, Ricky",R Fan,page-meta,Defining and Validating Convergence Criteria for the Determination of Representative Elementary Volume in Porous Media,1.000,2025,2025,https://uwspace.uwaterloo.ca/items/615882f2-e038-4e32-912b-dd8be7ea35c9,"The representative elementary volume (REV) is a fundamental concept in the study of porous media, describing the minimum volume at which a material property can be …",,
PhyCo: Physics-Consistent Learning of Implicit Constitutive Laws via Monocular Observations of 3D Gaussians,"Xiaoyang Liu, Kai Han","X Liu, K Han",page-meta,PhyCo: Physics-Consistent Learning of Implicit Constitutive Laws via Monocular Observations of 3D Gaussians,1.000,,openreview.net,https://openreview.net/forum?id=XyHbp7Y2T5,"We present** PhyCo**, a framework for learning implicit constitutive laws from\textbf {monocular dynamic observations} of Gaussian splatting. Existing implicit methods often …",,
